case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,896.0,0.01523533640592359,0.014999009095437995,-0.00023632731048559528,0.0002292748154529246,-1.0307600074554142
io_backbone_control,TT,905.0,0.01412587318391353,0.013833660033636216,-0.0002922131502773144,0.0002124080266009027,-1.375716139137995
io_backbone_control,TT,914.0,0.01311469591146521,0.012726132205851158,-0.0003885637056140513,0.0001963310263985799,-1.9791253208507744
io_backbone_control,TT,923.0,0.01193093294749036,0.0116931141802639,-0.0002378187672264602,0.0001806482679447878,-1.3164741070152173
io_backbone_control,TT,932.0,0.01128944600921683,0.010747923641479062,-0.0005415223677377682,0.0001667865577464152,-3.246798633263401
io_backbone_control,TT,941.0,0.01018968946764991,0.009895975026483261,-0.0002937144411666488,0.0001535983912532047,-1.912223420898106
io_backbone_control,TT,950.0,0.009335850269764662,0.009140687963066866,-0.0001951623066977961,0.0001419389820451625,-1.3749732729215913
io_backbone_control,TT,959.0,0.008775003824055196,0.008485467439498401,-0.00028953638455679435,0.0001317008080786531,-2.1984404559148962
io_backbone_control,TT,968.0,0.008258236642090603,0.007932513823158958,-0.00032572281893164523,0.0001229279981272549,-2.649704086081817
io_backbone_control,TT,977.0,0.007424256709155626,0.007477788639629483,5.353193047385671e-05,0.0001152840951217579,0.4643479260284663
io_backbone_control,TT,986.0,0.007125044739495963,0.0071138709390663095,-1.117380042965372e-05,0.0001089211781651315,-0.10258611426983943
io_backbone_control,TT,995.0,0.006893724814018234,0.006833217887545037,-6.050692647319687e-05,0.0001041467367926143,-0.5809776507321908
io_backbone_control,TT,1004.0,0.00638160340661928,0.00662814526248263,0.00024654185586334924,0.0001002205672996207,2.459992619342141
io_backbone_control,TT,1013.0,0.006603091634658166,0.00648912868272992,-0.00011396295192824587,9.741017862145867e-05,-1.1699285797546086
io_backbone_control,TT,1022.0,0.006204459512097761,0.006404573280411611,0.00020011376831385007,9.554561630244924e-05,2.0944317076818133
io_backbone_control,TT,1031.0,0.006146176196789369,0.006362665617713245,0.00021648942092387588,9.407592293694047e-05,2.301220271513996
