ell,Dl_TT_io_backbone_control,Dl_TE_io_backbone_control,Dl_EE_io_backbone_control,Dl_TT_io_conditional_structured,Dl_TE_io_conditional_structured,Dl_EE_io_conditional_structured,Dl_TT_lcdm_planck_reference,Dl_TE_lcdm_planck_reference,Dl_EE_lcdm_planck_reference
1077,1185.2012099074955,-65.684055415151,22.498355716229486,1158.3452967225674,-71.26038102306764,24.333314084120598,1156.8043329534732,-78.47795878675709,26.27543816646689
1078,1187.4775088696465,-65.37603991363143,22.264211581518538,1160.5224530289777,-71.00677451030342,24.08122372650773,1159.5261394326392,-78.37791149702885,25.997515109347486
1079,1189.7140041164387,-65.0491687119941,22.03247761977085,1162.66377981421,-70.73366627144651,23.83118818225368,1162.2304899146152,-78.25558215110354,25.72046226925899
1080,1191.909524192074,-64.7037298773662,21.80321427723152,1164.7681006330236,-70.44132880025363,23.58327487213062,1164.91588508292,-78.11121639203117,25.444364107679082
1081,1194.0631604542657,-64.34004299422833,21.576471181510325,1166.8344911861054,-70.13006882017595,23.33754083801042,1167.5808151596882,-77.94506235618881,25.169305661273146
1082,1196.173998865268,-63.95843055402132,21.352298231678336,1168.8620215355522,-69.80019589044656,23.094043457283306,1170.2237598819868,-77.757370679559,24.895372543176027
1083,1198.2411199804385,-63.559217962267056,21.13074559881341,1170.8497560927678,-69.45202241305655,22.85284044355774,1172.843188478137,-77.54839450400806,24.622650944273687
1084,1200.263598936793,-63.14273354568918,20.911863726545498,1172.796753606357,-69.08586363973104,22.61398984736025,1175.437559644035,-77.31838948356454,24.351227634484914
1085,1202.2405054415658,-62.70930855933403,20.695703331602157,1174.7020671500259,-68.70203767890547,22.377550056835354,1178.0053215194707,-77.06761379069772,24.081189964043087
1086,1204.1709037607661,-62.25927719369137,20.48231540435392,1176.564744110477,-68.3008655027015,22.143579798445337,1180.544911664448,-76.79632812259581,23.812625864777782
1087,1206.053852707738,-61.792976581815225,20.271751209359707,1178.383826175307,-67.88267095390323,21.912138137670187,1183.054757035506,-76.50479570744449,23.54562385139657
